Username: Bradley || Total Winnings: $6872
Username: Bradley || Total Winnings: $696
Username: Bradley || Total Winnings: $84468
Username: Bradley || Total Winnings: $1776
Username: Bradley || Total Winnings: $9018
Username: Bradley || Total Winnings: $732
Username: Bradley || Total Winnings: $963
Username: Bradley || Total Winnings: $1446
Username: Bradley || Total Winnings: $908
Username: Bradley || Total Winnings: $642
Username: Bradley || Total Winnings: $604
Username: Bradley || Total Winnings: $908
Username: Bradley || Total Winnings: $6908
